submission_pk,User,b'Accuracy',b'Species1 F1 Score',b'Species2 F1 Score',b'Species3 F1 Score',b'Species4 F1 Score',b'Species5 F1 Score',b'Species6 F1 Score',b'Species7 F1 Score',b'Species8 F1 Score'
248582,davidelongoni,0.8365 (168),0.6815 (234),0.8215 (282),0.8990 (266),0.8518 (208),0.8760 (241),0.8286 (314),0.9390 (191),0.7782 (214),
249346,olmonotarianni,0.8365 (168),0.6548 (267),0.8514 (209),0.9136 (230),0.8113 (297),0.8613 (278),0.8899 (203),0.9418 (173),0.7602 (256),
247386,pasquale.castiglione,0.8362 (169),0.6577 (264),0.8340 (257),0.9120 (237),0.8404 (240),0.8658 (268),0.8831 (225),0.9192 (261),0.7521 (271),
248010,davedema,0.8348 (170),0.6429 (284),0.8050 (304),0.9220 (200),0.8071 (305),0.8824 (215),0.8912 (198),0.9315 (226),0.7827 (203),
249318,davidefoi,0.8348 (170),0.6592 (261),0.8221 (281),0.9341 (138),0.8202 (287),0.8451 (312),0.8940 (186),0.9366 (209),0.7493 (277),
248060,andreabraccio,0.8338 (171),0.6724 (241),0.8482 (223),0.8963 (272),0.8352 (255),0.8782 (229),0.8350 (306),0.9451 (155),0.7551 (266),
248870,frehau,0.8334 (172),0.6047 (318),0.8428 (236),0.9153 (224),0.7971 (320),0.8659 (267),0.9000 (172),0.9529 (123),0.7665 (244),
248920,MarcusToma,0.8334 (172),0.5870 (333),0.8587 (194),0.9125 (235),0.8407 (239),0.8700 (255),0.8700 (253),0.9448 (157),0.7408 (291),
249163,jensleonhardsen,0.8334 (172),0.6047 (318),0.8428 (236),0.9153 (224),0.7971 (320),0.8659 (267),0.9000 (172),0.9529 (123),0.7665 (244),
249187,vemundtl,0.8334 (172),0.6047 (318),0.8428 (236),0.9153 (224),0.7971 (320),0.8659 (267),0.9000 (172),0.9529 (123),0.7665 (244),
249296,Torkil,0.8334 (172),0.6047 (318),0.8428 (236),0.9153 (224),0.7971 (320),0.8659 (267),0.9000 (172),0.9529 (123),0.7665 (244),
249352,emnb,0.8334 (172),0.6389 (289),0.8225 (279),0.9123 (236),0.8279 (265),0.8660 (266),0.8562 (275),0.9434 (164),0.7728 (227),
249053,Gabrielecurti,0.8331 (173),0.6302 (296),0.8460 (226),0.9156 (222),0.8392 (244),0.8747 (246),0.8855 (223),0.9072 (294),0.7415 (290),
247566,MohanadDiab,0.8328 (174),0.7252 (156),0.8320 (260),0.8898 (289),0.8237 (276),0.8311 (331),0.8915 (197),0.9082 (291),0.7547 (267),
247558,Emilio,0.8324 (175),0.5946 (326),0.8335 (258),0.9076 (246),0.8389 (245),0.8748 (245),0.8867 (218),0.9512 (127),0.7444 (282),
248665,alessdero,0.8324 (175),0.5946 (326),0.8335 (258),0.9076 (246),0.8389 (245),0.8748 (245),0.8867 (218),0.9512 (127),0.7444 (282),
247804,astree.brg,0.8321 (176),0.6404 (287),0.7788 (339),0.9181 (215),0.8583 (191),0.8931 (193),0.8876 (213),0.9157 (268),0.7380 (293),
248214,Tounsi98,0.8321 (176),0.6501 (272),0.8390 (248),0.8925 (282),0.8437 (230),0.8668 (263),0.8647 (262),0.9307 (230),0.7533 (269),
249480,marco.bertolini3136,0.8321 (176),0.6400 (288),0.8714 (161),0.8901 (288),0.8598 (185),0.8560 (286),0.8656 (260),0.9330 (221),0.7287 (308),
249270,SimonJasselette,0.8314 (177),0.5852 (336),0.8579 (198),0.9197 (209),0.7773 (344),0.8489 (303),0.8793 (233),0.9586 (100),0.7825 (205),
249394,andreadsilva,0.8314 (177),0.5852 (336),0.8579 (198),0.9197 (209),0.7773 (344),0.8489 (303),0.8793 (233),0.9586 (100),0.7825 (205),
248165,ItsMeCoder,0.8311 (178),0.6638 (254),0.8499 (215),0.8838 (297),0.8791 (119),0.8693 (257),0.8546 (278),0.9155 (269),0.7282 (310),
249459,Pollo,0.8311 (178),0.6914 (214),0.8311 (263),0.8945 (278),0.8559 (197),0.8767 (235),0.8669 (257),0.9382 (198),0.7130 (329),
249537,Soli98,0.8307 (179),0.6864 (222),0.7742 (346),0.9293 (169),0.7976 (318),0.8856 (210),0.8558 (276),0.9104 (286),0.8113 (129),
249330,Marlene,0.8304 (180),0.5581 (348),0.8486 (221),0.9081 (243),0.8217 (281),0.8710 (252),0.8892 (205),0.9421 (171),0.7432 (287),
249533,DavideBeretta,0.8304 (180),0.6380 (290),0.8553 (203),0.8895 (290),0.8412 (237),0.8441 (315),0.8602 (267),0.9337 (219),0.7598 (257),
249139,luigiumana,0.8297 (181),0.6851 (225),0.7885 (329),0.9383 (120),0.8396 (243),0.8748 (243),0.7734 (355),0.9461 (148),0.7683 (237),
248033,Stephenito,0.8290 (182),0.6222 (304),0.8582 (196),0.8965 (270),0.8408 (238),0.8835 (214),0.8549 (277),0.9433 (165),0.7155 (325),
249518,lorenzozane,0.8283 (183),0.6066 (317),0.8232 (277),0.9101 (242),0.8522 (205),0.8778 (230),0.8672 (256),0.9250 (250),0.7363 (296),
247503,micheled01,0.8277 (184),0.5284 (364),0.8687 (169),0.9282 (179),0.8296 (262),0.8728 (249),0.8829 (226),0.9268 (242),0.7216 (317),
248623,biondoM,0.8277 (184),0.5284 (364),0.8687 (169),0.9282 (179),0.8296 (262),0.8728 (249),0.8829 (226),0.9268 (242),0.7216 (317),
249077,massimo.perna,0.8277 (184),0.5284 (364),0.8687 (169),0.9282 (179),0.8296 (262),0.8728 (249),0.8829 (226),0.9268 (242),0.7216 (317),
248089,GiacomoMassa,0.8273 (185),0.6462 (277),0.7971 (322),0.9273 (182),0.7819 (340),0.8812 (216),0.8395 (299),0.9404 (180),0.7864 (190),
248182,ItsAle,0.8263 (186),0.6252 (298),0.8452 (231),0.8918 (285),0.8205 (286),0.8486 (304),0.8936 (187),0.9502 (133),0.7280 (311),
248736,vittorio_polim,0.8263 (186),0.6252 (298),0.8452 (231),0.8918 (285),0.8205 (286),0.8486 (304),0.8936 (187),0.9502 (133),0.7280 (311),
248968,Priscilla_Lo_Bue,0.8263 (186),0.6252 (298),0.8452 (231),0.8918 (285),0.8205 (286),0.8486 (304),0.8936 (187),0.9502 (133),0.7280 (311),
249389,niccolodidoni,0.8260 (187),0.6677 (248),0.7991 (319),0.9335 (143),0.8110 (298),0.8795 (224),0.7825 (349),0.9374 (204),0.7719 (229),
248773,AliAlladin,0.8256 (188),0.6507 (270),0.8098 (298),0.8776 (307),0.8250 (272),0.8595 (279),0.8768 (237),0.9252 (249),0.7497 (276),
248713,AntonG,0.8253 (189),0.6229 (302),0.8261 (269),0.9130 (232),0.8202 (288),0.8743 (247),0.8659 (259),0.9146 (273),0.7436 (285),
249154,Mousan,0.8243 (190),0.6080 (312),0.8449 (232),0.8927 (281),0.8452 (225),0.8689 (260),0.8679 (254),0.9052 (296),0.7313 (303),
248160,LongSky,0.8229 (191),0.6544 (268),0.8396 (246),0.8809 (302),0.8661 (165),0.8658 (268),0.8474 (291),0.9112 (283),0.7156 (324),
247680,lorenc,0.8229 (191),0.5064 (377),0.8506 (211),0.9049 (250),0.8299 (261),0.8660 (265),0.8953 (184),0.9387 (195),0.7243 (313),
249087,juancarlos.gonzalez,0.8222 (192),0.5862 (334),0.8240 (275),0.9016 (259),0.8217 (281),0.8748 (244),0.8810 (230),0.9413 (175),0.7168 (323),
249300,hermanforslund,0.8222 (192),0.6225 (303),0.8240 (274),0.9152 (225),0.8275 (266),0.8706 (254),0.8436 (297),0.9304 (231),0.7293 (307),
248190,shengshenli,0.8212 (193),0.6167 (307),0.8038 (310),0.9142 (227),0.8105 (300),0.8539 (294),0.8530 (281),0.9301 (232),0.7537 (268),
248812,zahra,0.8212 (193),0.6167 (307),0.8038 (310),0.9142 (227),0.8105 (300),0.8539 (294),0.8530 (281),0.9301 (232),0.7537 (268),
248860,liao,0.8212 (193),0.6167 (307),0.8038 (310),0.9142 (227),0.8105 (300),0.8539 (294),0.8530 (281),0.9301 (232),0.7537 (268),
249466,luist18,0.8209 (194),0.6207 (305),0.8074 (299),0.8952 (275),0.8212 (283),0.8568 (285),0.8813 (229),0.9255 (248),0.7366 (295),
248478,sara.paratico,0.8199 (195),0.6435 (282),0.8035 (311),0.9078 (245),0.7855 (337),0.8590 (283),0.8576 (272),0.9189 (262),0.7669 (241),
249358,ariana_cihan,0.8195 (196),0.5886 (330),0.8391 (247),0.8958 (273),0.8271 (269),0.8549 (292),0.8576 (273),0.9288 (233),0.7224 (315),
247707,ilariaferrari,0.8192 (197),0.5448 (355),0.8542 (204),0.9046 (252),0.7938 (327),0.8557 (287),0.8815 (228),0.9249 (251),0.7436 (286),
247871,DavideZanutto,0.8192 (197),0.6466 (276),0.8120 (297),0.8981 (268),0.7964 (321),0.8540 (293),0.8737 (243),0.9019 (302),0.7510 (272),
249039,Yolaine,0.8192 (197),0.4907 (381),0.8401 (244),0.9187 (213),0.8403 (241),0.8681 (261),0.8705 (251),0.9393 (190),0.7146 (326),
249368,BaptisteSourisseau,0.8192 (197),0.6372 (291),0.8357 (254),0.8716 (314),0.8271 (270),0.8350 (325),0.8401 (298),0.9441 (161),0.7476 (280),
247686,Jesse,0.8188 (198),0.6206 (306),0.8124 (296),0.9056 (249),0.8030 (313),0.8594 (280),0.8386 (301),0.9401 (184),0.7430 (288),
247930,virginia_vighi,0.8182 (199),0.6548 (266),0.8138 (293),0.9043 (254),0.8215 (282),0.8722 (250),0.7448 (370),0.9283 (235),0.7637 (251),
248048,isabelbon,0.8178 (200),0.6335 (294),0.7995 (317),0.9210 (204),0.8057 (308),0.8655 (269),0.8000 (338),0.9379 (201),0.7572 (263),
249177,Giuliadiluzio,0.8178 (200),0.6370 (292),0.7495 (362),0.9202 (207),0.8248 (274),0.8863 (209),0.8589 (270),0.9109 (285),0.7284 (309),
249472,Melo,0.8178 (200),0.5967 (324),0.8047 (305),0.8976 (269),0.8353 (254),0.8766 (236),0.8141 (326),0.9277 (239),0.7503 (275),
249519,federico_cardani,0.8178 (200),0.6440 (280),0.8245 (272),0.9004 (263),0.8292 (263),0.8630 (276),0.8194 (320),0.9144 (274),0.7309 (304),
249387,JellisB,0.8171 (201),0.5837 (338),0.8377 (252),0.8930 (280),0.8211 (284),0.8707 (253),0.8460 (293),0.9266 (244),0.7199 (320),
247965,juanfra_54,0.8165 (202),0.5875 (332),0.7905 (325),0.9111 (240),0.8098 (302),0.8765 (237),0.8786 (235),0.9098 (288),0.7329 (301),
248156,PeymanAlv,0.8165 (202),0.6667 (252),0.8025 (313),0.8773 (308),0.8106 (299),0.8521 (298),0.8666 (258),0.9130 (279),0.7353 (298),
248223,MohsenShahverdi,0.8165 (202),0.6667 (252),0.8025 (313),0.8773 (308),0.8106 (299),0.8521 (298),0.8666 (258),0.9130 (279),0.7353 (298),
248646,MV_77,0.8165 (202),0.6667 (252),0.8025 (313),0.8773 (308),0.8106 (299),0.8521 (298),0.8666 (258),0.9130 (279),0.7353 (298),
249427,jacopo_dellorto,0.8151 (203),0.6246 (299),0.8286 (267),0.9036 (255),0.8067 (307),0.8460 (309),0.8315 (310),0.9215 (256),0.7392 (292),
249343,DavideFranchi,0.8120 (204),0.6285 (297),0.7775 (341),0.9170 (219),0.8105 (301),0.8648 (272),0.8654 (261),0.9014 (303),0.7031 (344),
248695,angiuf,0.8117 (205),0.6506 (271),0.7648 (350),0.9181 (214),0.7981 (317),0.8773 (231),0.7742 (354),0.9447 (158),0.7583 (262),
247479,ciceri_alessandro,0.8100 (206),0.5792 (340),0.8346 (255),0.8996 (264),0.8141 (294),0.8501 (300),0.8381 (303),0.9316 (225),0.7038 (341),
247528,francescomattioli,0.8097 (207),0.6589 (263),0.8203 (283),0.8824 (300),0.8229 (278),0.8689 (260),0.7906 (342),0.9173 (264),0.7050 (339),
249290,SimonP,0.8080 (208),0.6077 (313),0.8414 (240),0.8543 (329),0.8145 (292),0.8171 (345),0.8527 (282),0.9278 (237),0.7256 (312),
248163,ashkanical,0.8076 (209),0.6070 (315),0.7662 (349),0.9259 (187),0.8388 (246),0.8975 (165),0.6703 (384),0.9478 (142),0.7441 (283),
249607,ZioIvano,0.8069 (210),0.6880 (219),0.8012 (316),0.8836 (299),0.8356 (253),0.8339 (327),0.8438 (296),0.8660 (342),0.7007 (346),
247984,carrif,0.8066 (211),0.6676 (251),0.7810 (337),0.8927 (281),0.8113 (296),0.8525 (296),0.8382 (302),0.8811 (326),0.7200 (319),
249264,marcoferro23,0.8046 (212),0.6616 (257),0.7766 (343),0.8989 (267),0.7873 (335),0.8453 (311),0.8438 (296),0.8681 (341),0.7345 (299),
249311,Francisco_Ribeiro,0.8046 (212),0.5608 (346),0.7734 (347),0.8889 (291),0.7972 (319),0.8555 (290),0.8459 (294),0.9188 (263),0.7594 (260),
248907,Emanuele,0.8039 (213),0.5196 (372),0.8162 (289),0.8856 (295),0.8150 (290),0.8633 (275),0.8486 (289),0.9109 (284),0.7126 (330),
248058,benedetta_zamboni,0.8035 (214),0.6676 (250),0.7789 (338),0.8755 (310),0.7899 (332),0.8141 (348),0.8498 (288),0.8997 (306),0.7422 (289),
249019,LeonardoT,0.8029 (215),0.5788 (341),0.7895 (327),0.8837 (298),0.8179 (289),0.8556 (289),0.8522 (283),0.9100 (287),0.7131 (328),
247640,MattiaTaglia,0.8022 (216),0.4717 (384),0.8060 (302),0.9103 (241),0.8146 (291),0.8764 (238),0.8519 (285),0.9278 (237),0.6869 (356),
249038,DanieleFerracuti,0.8012 (217),0.5781 (342),0.7851 (332),0.9030 (256),0.7623 (355),0.8525 (297),0.8571 (274),0.8971 (309),0.7368 (294),
247484,francesca.barbaro,0.8005 (218),0.6070 (316),0.8030 (312),0.8991 (265),0.8043 (312),0.8521 (299),0.7975 (340),0.9144 (275),0.7126 (331),
247891,eno_gjyli,0.7981 (219),0.6031 (321),0.7995 (318),0.8949 (277),0.8072 (304),0.8448 (313),0.8300 (313),0.8930 (315),0.6984 (347),
249441,enrico.zuccolotto,0.7971 (220),0.6549 (265),0.7583 (354),0.9277 (180),0.7517 (363),0.8804 (220),0.6567 (386),0.9325 (223),0.7676 (239),
247458,benjamin.natali,0.7967 (221),0.6479 (275),0.7626 (351),0.8760 (309),0.7785 (342),0.8073 (354),0.8588 (271),0.9132 (277),0.7175 (322),
249083,karo,0.7964 (222),0.7163 (172),0.7500 (361),0.9113 (239),0.8382 (247),0.8594 (281),0.7363 (374),0.9010 (304),0.6465 (377),
247670,emmavanroy,0.7957 (223),0.6233 (301),0.8043 (307),0.8776 (306),0.7929 (328),0.8391 (321),0.8013 (334),0.8883 (320),0.7077 (335),
249029,FrancescoZanella,0.7954 (224),0.5146 (374),0.8046 (306),0.8924 (283),0.7913 (330),0.8329 (329),0.8309 (312),0.9115 (281),0.7138 (327),
248204,Alix,0.7950 (225),0.5568 (350),0.8066 (301),0.8623 (320),0.8329 (259),0.8594 (282),0.8470 (292),0.8773 (331),0.6901 (354),
248671,carlottagatti,0.7947 (226),0.5246 (370),0.7889 (328),0.8849 (296),0.7954 (322),0.8385 (322),0.8170 (324),0.9073 (293),0.7339 (300),
248700,Frezza99,0.7940 (227),0.5826 (339),0.8325 (259),0.8611 (322),0.7715 (349),0.8437 (316),0.8195 (319),0.9048 (298),0.7038 (342),
249097,AlenKaja,0.7940 (227),0.6106 (308),0.7596 (352),0.8785 (304),0.7887 (334),0.8552 (291),0.8076 (329),0.9188 (263),0.7294 (306),
248718,MartinaCFM,0.7933 (228),0.5185 (373),0.7824 (335),0.8864 (293),0.7948 (324),0.8360 (324),0.8211 (318),0.9089 (290),0.7308 (305),
247363,isamasar,0.7930 (229),0.5954 (325),0.7577 (355),0.8860 (294),0.8047 (310),0.8689 (259),0.8058 (331),0.8827 (325),0.7075 (336),
248794,Leopold2212,0.7916 (230),0.6033 (319),0.7249 (378),0.9062 (247),0.8362 (252),0.8444 (314),0.7658 (361),0.9034 (301),0.7099 (334),
247253,pedrohgian,0.7910 (231),0.6591 (262),0.7833 (334),0.8506 (333),0.7804 (341),0.8407 (320),0.8176 (323),0.9093 (289),0.7032 (343),
249418,Saad.El_H_El_B,0.7910 (231),0.5596 (347),0.8131 (294),0.8777 (305),0.7785 (342),0.8470 (307),0.8152 (325),0.9077 (292),0.6970 (348),
249565,deniztemurtas,0.7903 (232),0.5439 (356),0.7819 (336),0.8748 (311),0.7831 (339),0.8308 (335),0.8311 (311),0.9151 (271),0.7211 (318),
247043,danieleambrosino,0.7889 (233),0.5426 (357),0.7980 (320),0.8530 (331),0.8044 (311),0.8308 (334),0.8436 (297),0.9307 (230),0.6845 (359),
247704,Clausanty,0.7889 (233),0.5426 (357),0.7980 (320),0.8530 (331),0.8044 (311),0.8308 (334),0.8436 (297),0.9307 (230),0.6845 (359),
249143,clementine_a,0.7889 (233),0.5423 (359),0.7467 (367),0.9047 (251),0.7629 (354),0.8579 (284),0.7378 (373),0.9257 (246),0.7756 (221),
249496,Lindi,0.7889 (233),0.5426 (357),0.7980 (320),0.8530 (331),0.8044 (311),0.8308 (334),0.8436 (297),0.9307 (230),0.6845 (359),
248098,lucapetracca,0.7886 (234),0.6339 (293),0.7273 (376),0.9029 (257),0.7899 (331),0.8409 (319),0.7583 (366),0.9151 (271),0.7368 (294),
248692,viereck,0.7886 (234),0.5538 (352),0.7533 (358),0.9007 (261),0.8131 (295),0.8430 (317),0.7906 (342),0.8892 (319),0.7026 (345),
249231,DanieleCipo,0.7882 (235),0.6033 (320),0.8041 (308),0.8907 (286),0.7721 (348),0.8232 (340),0.8237 (317),0.9130 (278),0.6933 (350),
249465,Matteo.Tremolada,0.7879 (236),0.6073 (314),0.8228 (278),0.8287 (344),0.7707 (350),0.8465 (308),0.8365 (304),0.9314 (227),0.6510 (374),
249288,ElDanee,0.7845 (237),0.4958 (380),0.8225 (280),0.8956 (274),0.7586 (360),0.8622 (277),0.8722 (247),0.9395 (188),0.6006 (394),
248116,lmelgarejo,0.7842 (238),0.5882 (331),0.8068 (300),0.8571 (327),0.7597 (359),0.8253 (339),0.8480 (290),0.8999 (305),0.6826 (361),
248020,Francesco11,0.7835 (239),0.5927 (328),0.7782 (340),0.8934 (279),0.7766 (345),0.8490 (302),0.7621 (362),0.8892 (318),0.6923 (351),
248684,tommaso-sacchetti,0.7821 (240),0.5027 (379),0.7758 (344),0.8950 (276),0.7941 (326),0.8066 (355),0.8392 (300),0.8872 (321),0.6958 (349),
247463,luigi_01,0.7808 (241),0.5258 (367),0.7906 (324),0.8447 (335),0.7668 (352),0.8204 (341),0.8537 (280),0.8852 (323),0.7057 (338),
248002,fabiochini,0.7801 (242),0.6003 (323),0.7474 (366),0.8904 (287),0.7922 (329),0.8556 (288),0.6580 (385),0.8773 (332),0.7469 (281),
248622,michelelagreca,0.7787 (243),0.4554 (388),0.8020 (315),0.8628 (319),0.7851 (338),0.8383 (323),0.7697 (358),0.8950 (311),0.7123 (332),
249068,Riccardo.dominici,0.7767 (244),0.5051 (378),0.8038 (309),0.8658 (317),0.7889 (333),0.8427 (318),0.8274 (316),0.8858 (322),0.6622 (367),
247903,AlexPugin,0.7753 (245),0.6101 (309),0.7450 (368),0.8720 (313),0.7779 (343),0.8347 (326),0.7799 (352),0.8940 (313),0.6881 (355),
247415,EB-AN2DL,0.7746 (246),0.5329 (362),0.7853 (331),0.8575 (326),0.7686 (351),0.8161 (346),0.8193 (321),0.9058 (295),0.6811 (362),
249010,mattiav,0.7746 (246),0.5329 (362),0.7853 (331),0.8575 (326),0.7686 (351),0.8161 (346),0.8193 (321),0.9058 (295),0.6811 (362),
249248,AlessiaCR,0.7746 (246),0.5329 (362),0.7853 (331),0.8575 (326),0.7686 (351),0.8161 (346),0.8193 (321),0.9058 (295),0.6811 (362),
248662,andreav,0.7736 (247),0.5852 (335),0.7842 (333),0.8401 (339),0.7899 (332),0.8299 (336),0.7476 (369),0.8658 (343),0.7107 (333),
248721,sara.alvarez,0.7736 (247),0.6417 (286),0.8054 (303),0.8017 (355),0.8146 (291),0.8011 (359),0.7231 (378),0.8892 (318),0.7228 (314),
248796,diegovf98,0.7736 (247),0.6417 (286),0.8054 (303),0.8017 (355),0.8146 (291),0.8011 (359),0.7231 (378),0.8892 (318),0.7228 (314),
248805,Gemamnl,0.7736 (247),0.6417 (286),0.8054 (303),0.8017 (355),0.8146 (291),0.8011 (359),0.7231 (378),0.8892 (318),0.7228 (314),
247438,angelo.capponcelli,0.7695 (248),0.4539 (389),0.8024 (314),0.8438 (337),0.7602 (358),0.8039 (357),0.8183 (322),0.9050 (297),0.6916 (352),
249197,FelipePascutti,0.7682 (249),0.5575 (349),0.7508 (360),0.8667 (316),0.7715 (349),0.7942 (362),0.7980 (339),0.9138 (276),0.6569 (369),
247480,valentina_manzoni,0.7665 (250),0.5424 (358),0.7549 (357),0.8596 (325),0.7487 (364),0.8254 (338),0.7900 (343),0.8937 (314),0.6836 (360),
248724,simogiaco,0.7641 (251),0.5944 (327),0.7529 (359),0.8607 (323),0.7612 (357),0.8033 (358),0.7838 (347),0.8912 (316),0.6659 (365),
248124,antoine.vd,0.7631 (252),0.5298 (363),0.7350 (372),0.8540 (330),0.7528 (362),0.8331 (328),0.8012 (336),0.8803 (328),0.6852 (358),
249107,Michele_Albanese,0.7624 (253),0.5263 (365),0.7771 (342),0.8795 (303),0.7542 (361),0.7924 (363),0.7744 (353),0.8976 (308),0.6770 (363),
247413,mpaga,0.7621 (254),0.6422 (285),0.7308 (374),0.8185 (347),0.7410 (369),0.7942 (362),0.7708 (357),0.8578 (345),0.7220 (316),
248732,nicholasnicolis,0.7600 (255),0.4695 (385),0.7400 (370),0.8178 (348),0.7948 (325),0.8147 (347),0.7400 (372),0.9115 (282),0.7065 (337),
248018,Carlo99,0.7570 (256),0.5378 (361),0.7477 (365),0.8529 (332),0.7446 (367),0.8309 (333),0.7513 (368),0.8954 (310),0.6609 (368),
248108,Enricomagliulo,0.7542 (257),0.6535 (269),0.7070 (385),0.8421 (338),0.7219 (377),0.7838 (367),0.7832 (348),0.8488 (347),0.6748 (364),
249063,iamgabryb,0.7542 (257),0.6535 (269),0.7070 (385),0.8421 (338),0.7219 (377),0.7838 (367),0.7832 (348),0.8488 (347),0.6748 (364),
249267,Alessandro.Bagnacani,0.7542 (257),0.3508 (401),0.7750 (345),0.8601 (324),0.7636 (353),0.8074 (353),0.7292 (376),0.9171 (265),0.6852 (357),
249550,Nikolina,0.7542 (257),0.3290 (405),0.8139 (292),0.8064 (351),0.8021 (315),0.8140 (349),0.8344 (307),0.9037 (300),0.6385 (380),
248599,Mehthy,0.7539 (258),0.6008 (322),0.7856 (330),0.8440 (336),0.7143 (378),0.7891 (365),0.7849 (346),0.8692 (339),0.6293 (383),
248686,purposehuman,0.7536 (259),0.4278 (391),0.7552 (356),0.8564 (328),0.7613 (356),0.8183 (343),0.8091 (327),0.9045 (299),0.6253 (386),
248540,TrueFalse,0.7525 (260),0.4107 (396),0.7286 (375),0.8696 (315),0.7754 (346),0.8311 (332),0.7672 (359),0.8744 (336),0.6636 (366),
248691,marco-zanghieri,0.7519 (261),0.5566 (351),0.7728 (348),0.8124 (350),0.8054 (309),0.8104 (352),0.7823 (350),0.8780 (329),0.6161 (391),
247868,AV,0.7512 (262),0.5234 (371),0.7488 (364),0.8312 (343),0.7479 (365),0.8123 (351),0.7803 (351),0.8976 (307),0.6335 (382),
249404,federico.diana,0.7502 (263),0.3877 (398),0.7585 (353),0.8618 (321),0.7735 (347),0.8136 (350),0.7859 (345),0.8804 (327),0.6542 (371),
249218,Budino,0.7492 (264),0.5142 (375),0.7145 (382),0.8157 (349),0.7449 (366),0.7701 (371),0.8089 (328),0.8737 (338),0.7040 (340),
248635,francesco3,0.7464 (265),0.5773 (343),0.7087 (384),0.8063 (352),0.7366 (371),0.7944 (361),0.8063 (330),0.8739 (337),0.6355 (381),
248179,federico.bono,0.7461 (266),0.6094 (311),0.7899 (326),0.7846 (360),0.7115 (379),0.7826 (368),0.8012 (337),0.8778 (330),0.6483 (376),
249493,MarcoBendinelli,0.7458 (267),0.5079 (376),0.6383 (398),0.9019 (258),0.7441 (368),0.8293 (337),0.7439 (371),0.8420 (349),0.6914 (353),
249435,Andrea.seghetto,0.7434 (268),0.5526 (353),0.7239 (379),0.8350 (341),0.7399 (370),0.7951 (360),0.7729 (356),0.8604 (344),0.6400 (379),
248663,luho26,0.7430 (269),0.5490 (354),0.7199 (380),0.8386 (340),0.7341 (372),0.7918 (364),0.7661 (360),0.8465 (348),0.6519 (373),
249495,Jahi,0.7417 (270),0.3299 (404),0.7338 (373),0.8496 (334),0.7232 (376),0.7890 (366),0.8277 (315),0.8941 (312),0.6548 (370),
247720,GiuliaTST,0.7407 (271),0.4771 (382),0.7494 (363),0.8016 (356),0.7865 (336),0.8202 (342),0.7562 (367),0.8837 (324),0.6148 (392),
247265,gnp50,0.7379 (272),0.4632 (386),0.7270 (377),0.8342 (342),0.7074 (381),0.8327 (330),0.8055 (332),0.8898 (317),0.6085 (393),
247663,gabriele_martinelli,0.7376 (273),0.5897 (329),0.7393 (371),0.7724 (362),0.7286 (375),0.7670 (373),0.8013 (335),0.8747 (335),0.6286 (384),
247758,Davidez,0.7373 (274),0.3960 (397),0.7182 (381),0.8262 (345),0.7889 (333),0.8180 (344),0.8026 (333),0.7312 (364),0.7196 (321),
249385,MatteoManetti,0.7305 (275),0.4607 (387),0.7008 (386),0.8203 (346),0.7294 (374),0.7748 (369),0.7948 (341),0.8533 (346),0.6523 (372),
249529,Celia,0.7111 (276),0.5260 (366),0.7003 (387),0.7899 (359),0.6865 (384),0.7653 (374),0.7199 (379),0.8766 (333),0.6168 (390),
248083,Lasse,0.7026 (277),0.2958 (407),0.7103 (383),0.8058 (353),0.6992 (382),0.8059 (356),0.6762 (383),0.8691 (340),0.6244 (387),
249170,diegotielens,0.7026 (277),0.2958 (407),0.7103 (383),0.8058 (353),0.6992 (382),0.8059 (356),0.6762 (383),0.8691 (340),0.6244 (387),
249583,Oswaldo.Morales,0.7019 (278),0.4762 (383),0.6879 (393),0.7138 (369),0.6807 (386),0.7612 (375),0.7583 (365),0.8235 (355),0.6499 (375),
247604,Nicolas01,0.6968 (279),0.5420 (360),0.7434 (369),0.5714 (377),0.6675 (389),0.7405 (379),0.7606 (363),0.8750 (334),0.6459 (378),
248092,Calle,0.6937 (280),0.3490 (402),0.6968 (389),0.8032 (354),0.7099 (380),0.7346 (382),0.6493 (387),0.8402 (351),0.6277 (385),
248104,BC,0.6937 (280),0.3490 (402),0.6968 (389),0.8032 (354),0.7099 (380),0.7346 (382),0.6493 (387),0.8402 (351),0.6277 (385),
248105,hansbjorn,0.6937 (280),0.3490 (402),0.6968 (389),0.8032 (354),0.7099 (380),0.7346 (382),0.6493 (387),0.8402 (351),0.6277 (385),
249317,RuairiGrant,0.6917 (281),0.5249 (369),0.6784 (395),0.7177 (367),0.6136 (393),0.7347 (381),0.7877 (344),0.8324 (353),0.6220 (388),
249322,anna.nolan,0.6917 (281),0.5249 (369),0.6784 (395),0.7177 (367),0.6136 (393),0.7347 (381),0.7877 (344),0.8324 (353),0.6220 (388),
249147,Mirko98,0.6880 (282),0.4276 (392),0.6277 (400),0.7954 (358),0.7324 (373),0.7559 (377),0.7601 (364),0.7677 (363),0.5760 (397),
247718,MattiaVal,0.6818 (283),0.5257 (368),0.6980 (388),0.6968 (372),0.6845 (385),0.7547 (378),0.6825 (382),0.8266 (354),0.5880 (396),
249233,Aske_bredahl,0.6788 (284),0.2796 (409),0.6891 (392),0.7621 (363),0.6795 (387),0.7405 (379),0.7352 (375),0.8348 (352),0.5945 (395),
249327,xiangyi.kong,0.6727 (285),0.4150 (394),0.6834 (394),0.7134 (370),0.6619 (390),0.7584 (376),0.6084 (389),0.8417 (350),0.6173 (389),
